,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,A,2014,Mané Garrincha,Brasilia,DF,Domingo,20, Abril ,2014,18:30,Flamengo - RJ,Goiás - GO,0,0,0,0,1,1,1
1,A,2014,Maracanã,Rio de Janeiro,RJ,Sábado,19, Abril ,2014,18:30,Fluminense - RJ,Figueirense - SC,3,0,1,0,0,3,0
2,A,2014,Morumbi,Sao Paulo,SP,Domingo,20, Abril ,2014,16:00,São Paulo - SP,Botafogo - RJ,3,0,1,0,0,3,0
3,A,2014,Vila Belmiro,Santos,SP,Domingo,20, Abril ,2014,18:30,Santos - SP,Sport - PE,1,1,0,0,1,1,1
4,A,2014,Orlando Scarpelli,Florianopolis,SC,Domingo,20, Abril ,2014,16:00,Atletico - PR,Grêmio - RS,1,0,1,0,0,3,0
5,A,2014,João Havelange,Uberlandia,MG,Domingo,20, Abril ,2014,16:00,Atlético - MG,Corinthians - SP,0,0,0,0,1,1,1
6,A,2014,Fonte Nova,Salvador,BA,Domingo,20, Abril ,2014,16:00,Bahia - BA,Cruzeiro - MG,1,2,0,1,0,0,3
7,A,2014,Beira,Rio,Porto Alegre,Sábado,19, Abril ,2014,18:30,Internacional - RS,Vitória - BA,1,0,1,0,0,3,0
8,A,2014,Heriberto Hulse,Criciuma,SC,Domingo,20, Abril ,2014,18:30,Criciuma - SC,Palmeiras - SP,1,2,0,1,0,0,3
9,A,2014,Arena Condá,Chapeco,SC,Sábado,19, Abril ,2014,21:00,Chapecoense - SC,Coritiba - PR,0,0,0,0,1,1,1
10,A,2014,Maracanã,Rio de Janeiro,RJ,Domingo,27, Abril ,2014,16:00,Botafogo - RJ,Internacional - RS,2,2,0,0,1,1,1
11,A,2014,Ilha do Retiro,Recife,PE,Domingo,27, Abril ,2014,18:30,Sport - PE,Chapecoense - SC,2,1,1,0,0,3,0
12,A,2014,Pacaembu,Sao Paulo,SP,Domingo,27, Abril ,2014,16:00,Corinthians - SP,Flamengo - RJ,2,0,1,0,0,3,0
13,A,2014,Pacaembu,Sao Paulo,SP,Sábado,26, Abril ,2014,21:00,Palmeiras - SP,Fluminense - RJ,0,1,0,1,0,0,3
14,A,2014,Couto Pereira,Curitiba,PR,Sábado,26, Abril ,2014,18:30,Coritiba - PR,Santos - SP,0,0,0,0,1,1,1
