,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,B,2015,Durival Britto,Curitiba,PR,Sexta,8, Maio ,2015,21:00,Paraná - PR,Ceará - CE,1,0,1,0,0,3,0
1,B,2015,Serra Dourada,Goiania,GO,Sexta,8, Maio ,2015,19:30,Atlético - GO,Boa - MG,1,0,1,0,0,3,0
2,B,2015,Mangueirão,Belem,PA,Sábado,9, Maio ,2015,21:00,Paysandu - PA,Botafogo - RJ,0,1,0,1,0,0,3
3,B,2015,Romildo Ferreira,Mogi Mirim,SP,Sexta,8, Maio ,2015,21:50,Mogi Mirim - SP,Criciúma - SC,1,2,0,1,0,0,3
4,B,2015,Manoel Barradas,Salvador,BA,Sábado,9, Maio ,2015,16:30,Vitória - BA,Sampaio Correa - MA,0,2,0,1,0,0,3
5,B,2015,Cláudio Moacyr,Macae,RJ,Sábado,9, Maio ,2015,16:30,Macaé - RJ,Santa Cruz - PE,2,0,1,0,0,3,0
6,B,2015,Independência,Belo Horizonte,MG,Sábado,9, Maio ,2015,16:30,América - MG,Bahia - BA,1,1,0,0,1,1,1
7,B,2015,Arena Pernambuco,Sao Lourenco da Mata,PE,Sábado,9, Maio ,2015,16:30,Náutico - PE,Luverdense - MT,1,0,1,0,0,3,0
8,B,2015,Frasqueirão,Natal,RN,Sexta,8, Maio ,2015,19:30,Abc - RN,Oeste - SP,0,1,0,1,0,0,3
9,B,2015,Rei Pelé,Maceio,AL,Sábado,9, Maio ,2015,21:00,Crb - AL,Bragantino - SP,2,0,1,0,0,3,0
10,B,2015,Pituaçu,Salvador,BA,Sexta,15, Maio ,2015,19:30,Bahia - BA,Mogi Mirim - SP,4,1,1,0,0,3,0
11,B,2015,Heriberto Hulse,Criciuma,SC,Sexta,15, Maio ,2015,21:50,Criciúma - SC,Abc - RN,0,2,0,1,0,0,3
12,B,2015,Castelão/MA,Sao Luis,MA,Sexta,15, Maio ,2015,19:30,Sampaio Correa - MA,Macaé - RJ,3,1,1,0,0,3,0
13,B,2015,Arruda,Recife,PE,Sexta,15, Maio ,2015,19:30,Santa Cruz - PE,Paraná - PR,4,1,1,0,0,3,0
14,B,2015,Nilton Santos,Rio de Janeiro,RJ,Sábado,16, Maio ,2015,16:30,Botafogo - RJ,Crb - AL,4,1,1,0,0,3,0
15,B,2015,Nabi Abi Chedid,Braganca Paulista,SP,Sábado,16, Maio ,2015,16:30,Bragantino - SP,Paysandu - PA,1,0,1,0,0,3,0
16,B,2015,Dilzon Melo,Varginha,MG,Sábado,16, Maio ,2015,16:30,Boa - MG,Náutico - PE,0,1,0,1,0,0,3
