,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,C,2019,Frasqueirão,Natal,RN,Domingo,28, Abril ,2019,18:00,Abc - RN,Náutico - PE,2,0,1,0,0,3,0
1,C,2019,Frei Epifânio,Imperatriz,MA,Sábado,27, Abril ,2019,19:00,Imperatriz - MA,Globo - RN,2,0,1,0,0,3,0
2,C,2019,Arruda,Recife,PE,Segunda,29, Abril ,2019,20:00,Santa Cruz - PE,Treze - PB,2,2,0,0,1,1,1
3,C,2019,Almeidão,Joao Pessoa,PB,Domingo,28, Abril ,2019,17:00,Botafogo - PB,Ferroviário - CE,1,1,0,0,1,1,1
4,C,2019,Batistão,Aracaju,SE,Domingo,28, Abril ,2019,16:00,Confiança - SE,Sampaio Correa - MA,0,2,0,1,0,0,3
5,C,2019,Passo das Emas,Lucas do Rio Verde,MT,Domingo,28, Abril ,2019,17:00,Luverdense - MT,Juventude - RS,0,0,0,0,1,1,1
6,C,2019,Mangueirão,Belem,PA,Sábado,27, Abril ,2019,19:15,Remo - PA,Boa - MG,1,0,1,0,0,3,0
7,C,2019,Antônio Guimarães de Almeida,Tombos,MG,Sábado,27, Abril ,2019,16:00,Tombense - MG,São José - RS,1,1,0,0,1,1,1
8,C,2019,Colosso da Lagoa,Erechim,RS,Sábado,27, Abril ,2019,17:15,Ypiranga - RS,Paysandu - PA,0,1,0,1,0,0,3
9,C,2019,Raulino de Oliveira,Volta Redonda,RJ,Sábado,27, Abril ,2019,16:00,Volta Redonda - RJ,Atlético - AC,3,0,1,0,0,3,0
10,C,2019,Manoel Barretto,Ceara,Mirim,Sábado,4, Maio ,2019,17:00,Globo - RN,Confiança - SE,2,0,1,0,0,3,0
11,C,2019,Castelão,Sao Luis,MA,Sábado,4, Maio ,2019,17:00,Sampaio Correa - MA,Botafogo - PB,1,1,0,0,1,1,1
12,C,2019,Aflitos,Recife,PE,Sábado,4, Maio ,2019,19:15,Náutico - PE,Imperatriz - MA,4,2,1,0,0,3,0
13,C,2019,Amigão,Campina Grande,PB,Domingo,5, Maio ,2019,16:00,Treze - PB,Abc - RN,0,0,0,0,1,1,1
14,C,2019,Arena Castelão,Fortaleza,CE,Domingo,5, Maio ,2019,18:00,Ferroviário - CE,Santa Cruz - PE,3,0,1,0,0,3,0
15,C,2019,Florestão,Rio Branco,AC,Domingo,5, Maio ,2019,19:00,Atlético - AC,Ypiranga - RS,1,1,0,0,1,1,1
16,C,2019,Curuzu,Belem,PA,Segunda,6, Maio ,2019,20:00,Paysandu - PA,Tombense - MG,1,0,1,0,0,3,0
17,C,2019,Dilzon Melo,Varginha,MG,Domingo,5, Maio ,2019,16:00,Boa - MG,Volta Redonda - RJ,1,1,0,0,1,1,1
18,C,2019,Alfredo Jaconi,Caxias do Sul,RS,Sábado,4, Maio ,2019,17:15,Juventude - RS,Remo - PA,1,1,0,0,1,1,1
19,C,2019,Passo D´areia,Porto Alegre,RS,Sábado,4, Maio ,2019,16:00,São José - RS,Luverdense - MT,2,0,1,0,0,3,0
20,C,2019,Manoel Barretto,Ceara,Mirim,Domingo,12, Maio ,2019,15:00,Globo - RN,Sampaio Correa - MA,0,1,0,1,0,0,3
21,C,2019,Frei Epifânio,Imperatriz,MA,Sábado,11, Maio ,2019,19:00,Imperatriz - MA,Treze - PB,2,2,0,0,1,1,1
22,C,2019,Aflitos,Recife,PE,Domingo,12, Maio ,2019,18:00,Náutico - PE,Ferroviário - CE,0,1,0,1,0,0,3
23,C,2019,Almeidão,Joao Pessoa,PB,Segunda,13, Maio ,2019,20:00,Botafogo - PB,Santa Cruz - PE,1,1,0,0,1,1,1
24,C,2019,Batistão,Aracaju,SE,Domingo,12, Maio ,2019,16:00,Confiança - SE,Abc - RN,1,0,1,0,0,3,0
25,C,2019,Passo das Emas,Lucas do Rio Verde,MT,Sábado,11, Maio ,2019,17:15,Luverdense - MT,Remo - PA,0,1,0,1,0,0,3
26,C,2019,Curuzu,Belem,PA,Sábado,11, Maio ,2019,19:15,Paysandu - PA,Juventude - RS,0,1,0,1,0,0,3
27,C,2019,Dilzon Melo,Varginha,MG,Domingo,12, Maio ,2019,16:00,Boa - MG,Atlético - AC,0,0,0,0,1,1,1
28,C,2019,Colosso da Lagoa,Erechim,RS,Domingo,12, Maio ,2019,15:30,Ypiranga - RS,São José - RS,2,0,1,0,0,3,0
29,C,2019,Raulino de Oliveira,Volta Redonda,RJ,Sábado,11, Maio ,2019,16:00,Volta Redonda - RJ,Tombense - MG,2,0,1,0,0,3,0
